Reported_Date,City,daily_temp,daily_humidity,mavg_7_temp,mavg_7_humidity,mavg_15_temp,mavg_15_humidity
2020-01-27,Sao Paulo,23.7,47.5,20.97142857142857,77.19714285714285,21.809333333333335,78.898
2020-01-28,Sao Paulo,23.87,60.77,21.252857142857145,72.93571428571428,21.764666666666667,76.422
2020-01-29,Sao Paulo,24.42,74.29,21.63,71.11714285714285,21.88066666666667,74.988
2020-01-30,Sao Paulo,25.33,72.12,22.111428571428572,70.59285714285714,22.040666666666667,74.782
2020-01-31,Sao Paulo,24.86,74.79,22.884285714285713,68.80714285714286,22.095333333333333,74.818
2020-02-01,Sao Paulo,23.55,85.46,23.640000000000004,67.24,22.03066666666667,74.64533333333334
2020-02-02,Sao Paulo,22.59,85.12,24.027142857142856,68.40142857142857,22.242666666666665,74.554
2020-02-03,Sao Paulo,21.31,89.85,24.045714285714286,71.43571428571428,22.427333333333333,74.78133333333332
2020-02-04,Sao Paulo,21.54,85.74,23.704285714285714,77.48571428571428,22.42866666666667,75.352
2020-02-05,Sao Paulo,23.1,82.82,23.37142857142857,81.05285714285715,22.415999999999997,75.91266666666667
2020-02-06,Sao Paulo,22.95,84.17,23.18285714285714,82.27142857142857,22.540666666666667,76.534
2020-02-07,Sao Paulo,23.41,76.5,22.842857142857145,83.99285714285715,22.667333333333332,76.94800000000001
2020-02-08,Sao Paulo,24.32,70.64,22.635714285714283,84.23714285714287,22.9,76.40666666666668
2020-02-09,Sao Paulo,24.23,71.81,22.745714285714286,82.12,23.216666666666665,75.39866666666667
2020-02-10,Sao Paulo,20.64,93.0,22.98,80.21857142857142,23.44266666666667,75.03066666666668
2020-02-11,Sao Paulo,18.6,86.38,22.884285714285713,80.66857142857143,23.32133333333333,76.97200000000001
2020-02-12,Sao Paulo,19.08,85.04,22.464285714285715,80.76,22.981333333333335,79.56400000000001
2020-02-13,Sao Paulo,20.84,79.54,21.889999999999997,81.07714285714285,22.662,81.182
2020-02-14,Sao Paulo,21.28,78.92,21.58857142857143,80.41571428571429,22.423333333333332,81.532
2020-02-15,Sao Paulo,23.36,73.0,21.284285714285716,80.76142857142858,22.153333333333332,81.98533333333333
2020-02-16,Sao Paulo,24.04,77.69,21.147142857142857,81.09857142857143,22.05333333333333,81.866
2020-02-17,Sao Paulo,24.64,76.88,21.12,81.93857142857144,22.086000000000002,81.348
2020-02-18,Sao Paulo,25.82,75.5,21.69142857142857,79.63571428571429,22.222666666666665,80.79866666666665
2020-02-19,Sao Paulo,25.29,76.42,22.722857142857144,78.08142857142857,22.52333333333333,79.842
2020-02-20,Sao Paulo,24.93,77.08,23.610000000000003,76.85000000000001,22.773333333333333,79.22066666666666
2020-02-21,Sao Paulo,22.27,85.11,24.194285714285716,76.49857142857142,22.895333333333333,78.838
2020-02-22,Sao Paulo,19.42,85.46,24.33571428571429,77.38285714285715,22.85,78.90066666666667
2020-02-23,Sao Paulo,18.69,79.25,23.77285714285714,79.16285714285713,22.584,79.498
2020-02-24,Sao Paulo,20.79,79.77,23.00857142857143,79.38571428571427,22.208666666666666,80.07200000000002
2020-02-25,Sao Paulo,22.91,82.04,22.458571428571425,79.79857142857142,21.979333333333333,80.60266666666666
2020-02-26,Sao Paulo,22.55,88.28,22.042857142857144,80.73285714285714,22.130666666666666,79.872
2020-02-27,Sao Paulo,18.64,87.36,21.65142857142857,82.42714285714285,22.394000000000002,79.99866666666667
2020-02-28,Sao Paulo,18.57,82.39,20.752857142857145,83.89571428571428,22.364666666666665,80.15333333333334
