Comparativo Ciudades,,,,,,,,
,,,,,,,,
Fecha,País,Ciudad,Casos confirmados acumulad,Fallecidos,Población (millones),Año población,Casos millón hab,Fallecidos millón hab
6/06/2020,España,Madrid,69562,8691,3266126,2020,21298,2661
7/06/2020,Colombia,Bogotá,12880,313,7743955,2020,1663,40
7/06/2020,Argentina,Buenos Aires,13263,297,3075646,2020,4312,97
7/06/2020,Brasil,Brasilia,16623,214,3015268,2019,5513,71
7/06/2020,Chile,Santiago de Chile,108462,1884,7460708,2020,14538,253
25/06/2020,Ecuador,Guayaquil,9970,1054,2723665,2020,3661,387
26/06/2020,Ecuador,Guayaquil,9978,1054,2723665,2020,3663,387
7/06/2020,México,Ciudad de México,30831,3083,8985339,2015,3431,343
7/06/2020,Perú,Lima,112933,4959,9485405,2017,11906,523
7/06/2020,Uruguay,Montevideo,568,15,1351162,2020,420,11
7/06/2020,Brasil,Sao Paulo,74796,4920,12252023,2017,6105,402
7/06/2020,Estados Unidos,New York,378097,30374,8398748,2018,45018,3616
7/06/2020,España,Madrid,69641,8691,3266126,2020,21322,2661
8/06/2020,Colombia,Bogotá,13329,316,7743955,2020,1721,41
8/06/2020,Argentina,Buenos Aires,11759,259,3075646,2020,3823,84
8/06/2020,Brasil,Brasilia,16623,214,3015268,2019,5513,71
8/06/2020,Chile,Santiago de Chile,112136,1950,7460708,2020,15030,261
27/06/2020,Ecuador,Guayaquil,9981,1054,2723665,2020,3665,387
28/06/2020,Ecuador,Guayaquil,9986,1058,2723665,2020,3666,388
8/06/2020,México,Ciudad de México,31943,3145,8985339,2015,3555,350
8/06/2020,Perú,Lima,115002,5049,9485405,2017,12124,532
8/06/2020,Uruguay,Montevideo,568,15,1351162,2020,420,11
8/06/2020,Brasil,Sao Paulo,74796,4920,12252023,2017,6105,402
8/06/2020,Estados Unidos,New York,378799,30417,8398748,2018,45102,3622
8/06/2020,España,Madrid,69695,8691,3266126,2020,21339,2661
9/06/2020,Colombia,Bogotá,13709,325,7743955,2020,1770,42
9/06/2020,Argentina,Buenos Aires,14501,324,3075646,2020,4715,105
9/06/2020,Brasil,Brasilia,16623,214,3015268,2019,5513,71
9/06/2020,Chile,Santiago de Chile,115126,1968,7460708,2020,15431,264
29/06/2020,Ecuador,Guayaquil,9986,1058,2723665,2020,3666,388
30/06/2020,Ecuador,Guayaquil,9986,1058,2723665,2020,3666,388
9/06/2020,México,Ciudad de México,31493,3145,8985339,2015,3505,350
9/06/2020,Perú,Lima,117455,5137,9485405,2017,12383,542
9/06/2020,Uruguay,Montevideo,570,15,1351162,2020,422,11
9/06/2020,Brasil,Sao Paulo,74796,4920,12252023,2017,6105,402
9/06/2020,Estados Unidos,New York,379482,30458,8398748,2018,45183,3626
9/06/2020,España,Madrid,69804,8691,3266126,2020,21372,2661
10/06/2020,Colombia,Bogotá,14132,335,7743955,2020,1825,43
10/06/2020,Argentina,Buenos Aires,15224,341,3075646,2020,4950,111
10/06/2020,Brasil,Brasilia,19433,256,3015268,2019,6445,85
10/06/2020,Chile,Santiago de Chile,119746,2115,7460708,2020,16050,283
1/07/2020,Ecuador,Guayaquil,9986,1058,2723665,2020,3666,388
2/07/2020,Ecuador,Guayaquil,10945,2306,2723665,2020,4018,847
10/06/2020,México,Ciudad de México,33173,3379,8985339,2015,3692,376
10/06/2020,Perú,Lima,119958,5259,9485405,2017,12647,554
10/06/2020,Uruguay,Montevideo,570,15,1351162,2020,422,11
10/06/2020,Brasil,Sao Paulo,80457,5232,12252023,2017,6567,427
10/06/2020,Estados Unidos,New York,380156,30542,8398748,2018,45263,3636
10/06/2020,España,Madrid,69895,8691,3266126,2020,21400,2661
11/06/2020,Colombia,Bogotá,14537,339,7743955,2020,1877,44
11/06/2020,Argentina,Buenos Aires,15934,354,3075646,2020,5181,115
11/06/2020,Brasil,Brasilia,20507,274,3015268,2019,6801,91
11/06/2020,Chile,Santiago de Chile,124135,2273,7460708,2020,16639,305
3/07/2020,Ecuador,Guayaquil,10988,2309,2723665,2020,4034,848
4/07/2020,Ecuador,Guayaquil,10988,2309,2723665,2020,4034,848
11/06/2020,México,Ciudad de México,34077,3507,8985339,2015,3793,390
11/06/2020,Perú,Lima,121783,5362,9485405,2017,12839,565
11/06/2020,Uruguay,Montevideo,570,15,1351162,2020,422,11
11/06/2020,Brasil,Sao Paulo,83076,5357,12252023,2017,6781,437
11/06/2020,Estados Unidos,New York,380892,30580,8398748,2018,45351,3641
11/06/2020,España,Madrid,70051,8691,3266126,2020,21448,2661
12/06/2020,Colombia,Bogotá,14940,359,7743955,2020,1929,46
12/06/2020,Argentina,Buenos Aires,16668,361,3075646,2020,5419,117
12/06/2020,Brasil,Brasilia,21396,282,3015268,2019,7096,94
12/06/2020,Chile,Santiago de Chile,129694,2468,7460708,2020,17384,331
5/07/2020,Ecuador,Guayaquil,10988,2309,2723665,2020,4034,848
6/07/2020,Ecuador,Guayaquil,10988,2309,2723665,2020,4034,848
12/06/2020,México,Ciudad de México,35272,3617,8985339,2015,3926,403
12/06/2020,Perú,Lima,123203,5464,9485405,2017,12989,576
12/06/2020,Uruguay,Montevideo,570,15,1351162,2020,422,11
12/06/2020,Brasil,Sao Paulo,85622,5480,12252023,2017,6988,447
12/06/2020,Estados Unidos,New York,381714,30758,8398748,2018,45449,3662
12/06/2020,España,Madrid,70231,8691,3266126,2020,21503,2661
13/06/2020,Colombia,Bogotá,15458,365,7743955,2020,1996,47
13/06/2020,Argentina,Buenos Aires,16668,361,3075646,2020,5419,117
13/06/2020,Brasil,Brasilia,21959,293,3015268,2019,7283,97
13/06/2020,Chile,Santiago de Chile,134751,2681,7460708,2020,18061,359
7/07/2020,Ecuador,Guayaquil,10988,2309,2723665,2020,4034,848
8/07/2020,Ecuador,Guayaquil,10988,2309,2723665,2020,4034,848
13/06/2020,México,Ciudad de México,35954,3698,8985339,2015,4001,412
13/06/2020,Perú,Lima,125006,5554,9485405,2017,13179,586
13/06/2020,Uruguay,Montevideo,570,15,1351162,2020,422,11
13/06/2020,Brasil,Sao Paulo,89025,5599,12252023,2017,7266,457
13/06/2020,Estados Unidos,New York,382630,30795,8398748,2018,45558,3667
13/06/2020,España,Madrid,70398,8691,3266126,2020,21554,2661
14/06/2020,Colombia,Bogotá,16037,382,7743955,2020,2071,49
14/06/2020,Argentina,Buenos Aires,18157,375,3075646,2020,5903,122
14/06/2020,Brasil,Brasilia,22871,304,3015268,2019,7585,101
14/06/2020,Chile,Santiago de Chile,140398,2878,7460708,2020,18818,386
9/07/2020,Ecuador,Guayaquil,10988,2309,2723665,2020,4034,848
10/07/2020,Ecuador,Guayaquil,10988,2309,2723665,2020,4034,848
14/06/2020,México,Ciudad de México,36879,3738,8985339,2015,4104,416
14/06/2020,Perú,Lima,126380,5644,9485405,2017,13324,595
14/06/2020,Uruguay,Montevideo,570,15,1351162,2020,422,11
