Reported_date,Country,City,total_confirmed_cases,Population,Census_year,cases_per_million
2020-08-01,Brasil,Sao Paulo,200444,12252023,2017,16360.0
2020-08-01,Estados Unidos,New York,225723,8398748,2018,26876.0
2020-08-02,Brasil,Sao Paulo,200705,12252023,2017,16381.0
2020-08-02,Estados Unidos,New York,225964,8398748,2018,26904.0
2020-08-03,Brasil,Sao Paulo,203279,12252023,2017,16591.0
2020-08-03,Estados Unidos,New York,226280,8398748,2018,26942.0
2020-08-04,Brasil,Sao Paulo,206102,12252023,2017,16822.0
2020-08-04,Estados Unidos,New York,226581,8398748,2018,26978.0
2020-08-05,Brasil,Sao Paulo,209559,12252023,2017,17104.0
2020-08-05,Estados Unidos,New York,226914,8398748,2018,27018.0
2020-08-06,Brasil,Sao Paulo,211469,12252023,2017,17260.0
2020-08-06,Estados Unidos,New York,227258,8398748,2018,27059.0
2020-08-07,Brasil,Sao Paulo,213507,12252023,2017,17426.0
2020-08-07,Estados Unidos,New York,227584,8398748,2018,27097.0
2020-08-08,Brasil,Sao Paulo,214094,12252023,2017,17474.0
2020-08-08,Estados Unidos,New York,227832,8398748,2018,27127.0
2020-08-09,Brasil,Sao Paulo,214329,12252023,2017,17493.0
2020-08-09,Estados Unidos,New York,228069,8398748,2018,27155.0
2020-08-10,Brasil,Sao Paulo,217244,12252023,2017,17731.0
2020-08-10,Estados Unidos,New York,228343,8398748,2018,27188.0
2020-08-11,Brasil,Sao Paulo,224140,12252023,2017,18294.0
2020-08-11,Estados Unidos,New York,228729,8398748,2018,27234.0
2020-08-12,Brasil,Sao Paulo,231203,12252023,2017,18871.0
2020-08-12,Estados Unidos,New York,229167,8398748,2018,27286.0
2020-08-13,Brasil,Sao Paulo,233987,12252023,2017,19098.0
2020-08-13,Estados Unidos,New York,229534,8398748,2018,27330.0
2020-08-14,Brasil,Sao Paulo,235519,12252023,2017,19223.0
2020-08-14,Estados Unidos,New York,229916,8398748,2018,27375.0
2020-08-15,Brasil,Sao Paulo,235866,12252023,2017,19251.0
2020-08-15,Estados Unidos,New York,230223,8398748,2018,27412.0
2020-08-16,Brasil,Sao Paulo,236163,12252023,2017,19275.0
2020-08-16,Estados Unidos,New York,230458,8398748,2018,27440.0
2020-08-17,Brasil,Sao Paulo,237934,12252023,2017,19420.0
2020-08-17,Estados Unidos,New York,230742,8398748,2018,27473.0
2020-08-18,Brasil,Sao Paulo,240115,12252023,2017,19598.0
2020-08-18,Estados Unidos,New York,231015,8398748,2018,27506.0
2020-08-19,Brasil,Sao Paulo,241764,12252023,2017,19733.0
2020-08-19,Estados Unidos,New York,231288,8398748,2018,27538.0
2020-08-20,Brasil,Sao Paulo,242589,12252023,2017,19800.0
2020-08-20,Estados Unidos,New York,231574,8398748,2018,27572.0
2020-08-21,Brasil,Sao Paulo,246492,12252023,2017,20118.0
2020-08-21,Estados Unidos,New York,231841,8398748,2018,27604.0
2020-08-22,Brasil,Sao Paulo,247403,12252023,2017,20193.0
2020-08-22,Estados Unidos,New York,232120,8398748,2018,27637.0
2020-08-23,Brasil,Sao Paulo,247730,12252023,2017,20220.0
2020-08-23,Estados Unidos,New York,232334,8398748,2018,27663.0
2020-08-24,Brasil,Sao Paulo,250171,12252023,2017,20419.0
2020-08-24,Estados Unidos,New York,232565,8398748,2018,27690.0
2020-08-25,Brasil,Sao Paulo,252063,12252023,2017,20573.0
2020-08-25,Estados Unidos,New York,232825,8398748,2018,27721.0
2020-08-26,Brasil,Sao Paulo,254146,12252023,2017,20743.0
2020-08-26,Estados Unidos,New York,233140,8398748,2018,27759.0
2020-08-27,Brasil,Sao Paulo,256511,12252023,2017,20936.0
2020-08-27,Estados Unidos,New York,233410,8398748,2018,27791.0
2020-08-28,Brasil,Sao Paulo,257528,12252023,2017,21019.0
2020-08-28,Estados Unidos,New York,233688,8398748,2018,27824.0
2020-08-29,Brasil,Sao Paulo,257778,12252023,2017,21040.0
2020-08-29,Estados Unidos,New York,233969,8398748,2018,27858.0
2020-08-30,Brasil,Sao Paulo,257949,12252023,2017,21054.0
2020-08-30,Estados Unidos,New York,234237,8398748,2018,27890.0
2020-08-31,Brasil,Sao Paulo,260991,12252023,2017,21302.0
2020-08-31,Estados Unidos,New York,234237,8398748,2018,27890.0
2020-09-01,Brasil,Sao Paulo,262570,12252023,2017,21431.0
2020-09-01,Estados Unidos,New York,309259,8398748,2018,36822.0
2020-09-02,Brasil,Sao Paulo,265066,12252023,2017,21634.0
2020-09-02,Estados Unidos,New York,309259,8398748,2018,36822.0
2020-09-03,Brasil,Sao Paulo,266232,12252023,2017,21730.0
2020-09-03,Estados Unidos,New York,310176,8398748,2018,36931.0
2020-09-04,Brasil,Sao Paulo,266236,12252023,2017,21730.0
2020-09-04,Estados Unidos,New York,310176,8398748,2018,36931.0
2020-09-05,Brasil,Sao Paulo,267767,12252023,2017,21855.0
2020-09-05,Estados Unidos,New York,310176,8398748,2018,36931.0
2020-09-06,Brasil,Sao Paulo,267926,12252023,2017,21868.0
2020-09-06,Estados Unidos,New York,310176,8398748,2018,36931.0
2020-09-07,Brasil,Sao Paulo,268347,12252023,2017,21902.0
2020-09-07,Estados Unidos,New York,310176,8398748,2018,36931.0
2020-09-08,Brasil,Sao Paulo,270000,12252023,2017,22037.0
2020-09-08,Estados Unidos,New York,236647,8398748,2018,28176.0
2020-09-09,Brasil,Sao Paulo,271505,12252023,2017,22160.0
2020-09-09,Estados Unidos,New York,236983,8398748,2018,28216.0
2020-09-10,Brasil,Sao Paulo,272857,12252023,2017,22270.0
2020-09-10,Estados Unidos,New York,237252,8398748,2018,28248.0
2020-09-11,Brasil,Sao Paulo,274173,12252023,2017,22378.0
2020-09-11,Estados Unidos,New York,237802,8398748,2018,28314.0
2020-09-12,Brasil,Sao Paulo,274467,12252023,2017,22402.0
2020-09-12,Estados Unidos,New York,237802,8398748,2018,28314.0
2020-09-13,Brasil,Sao Paulo,274740,12252023,2017,22424.0
2020-09-13,Estados Unidos,New York,238067,8398748,2018,28346.0
2020-09-14,Brasil,Sao Paulo,276241,12252023,2017,22547.0
2020-09-14,Estados Unidos,New York,238373,8398748,2018,28382.0
2020-09-15,Brasil,Sao Paulo,277683,12252023,2017,22664.0
2020-09-15,Estados Unidos,New York,238625,8398748,2018,28412.0
2020-09-16,Brasil,Sao Paulo,279193,12252023,2017,22788.0
2020-09-16,Estados Unidos,New York,238958,8398748,2018,28452.0
2020-09-17,Brasil,Sao Paulo,279193,12252023,2017,22788.0
2020-09-17,Estados Unidos,New York,239306,8398748,2018,28493.0
2020-09-18,Brasil,Sao Paulo,282217,12252023,2017,23034.0
2020-09-18,Estados Unidos,New York,239798,8398748,2018,28552.0
2020-09-19,Brasil,Sao Paulo,282498,12252023,2017,23057.0
2020-09-19,Estados Unidos,New York,240196,8398748,2018,28599.0
2020-09-20,Brasil,Sao Paulo,282726,12252023,2017,23076.0
2020-09-20,Estados Unidos,New York,240456,8398748,2018,28630.0
2020-09-21,Brasil,Sao Paulo,284252,12252023,2017,23200.0
2020-09-21,Estados Unidos,New York,240807,8398748,2018,28672.0
2020-09-22,Brasil,Sao Paulo,285475,12252023,2017,23300.0
2020-09-22,Estados Unidos,New York,241087,8398748,2018,28705.0
2020-09-23,Brasil,Sao Paulo,286862,12252023,2017,23413.0
2020-09-23,Estados Unidos,New York,241511,8398748,2018,28756.0
2020-09-24,Brasil,Sao Paulo,288081,12252023,2017,23513.0
2020-09-24,Estados Unidos,New York,241882,8398748,2018,28800.0
2020-09-25,Brasil,Sao Paulo,289185,12252023,2017,23603.0
2020-09-25,Estados Unidos,New York,242311,8398748,2018,28851.0
2020-09-26,Brasil,Sao Paulo,289308,12252023,2017,23613.0
2020-09-26,Estados Unidos,New York,242693,8398748,2018,28896.0
2020-09-27,Brasil,Sao Paulo,289466,12252023,2017,23626.0
2020-09-27,Estados Unidos,New York,243072,8398748,2018,28941.0
2020-09-28,Brasil,Sao Paulo,290839,12252023,2017,23738.0
2020-09-28,Estados Unidos,New York,243595,8398748,2018,29004.0
2020-09-29,Brasil,Sao Paulo,292067,12252023,2017,23838.0
2020-09-29,Estados Unidos,New York,244041,8398748,2018,29057.0
2020-09-30,Brasil,Sao Paulo,293210,12252023,2017,23932.0
2020-09-30,Estados Unidos,New York,244574,8398748,2018,29120.0
2020-10-01,Brasil,Sao Paulo,294135,12252023,2017,24007.0
2020-10-01,Estados Unidos,New York,245173,8398748,2018,29192.0
2020-10-02,Brasil,Sao Paulo,295234,12252023,2017,24097.0
2020-10-02,Estados Unidos,New York,245885,8398748,2018,29276.0
2020-10-03,Brasil,Sao Paulo,295301,12252023,2017,24102.0
2020-10-03,Estados Unidos,New York,246417,8398748,2018,29340.0
2020-10-04,Brasil,Sao Paulo,295425,12252023,2017,24112.0
2020-10-04,Estados Unidos,New York,246883,8398748,2018,29395.0
2020-10-05,Brasil,Sao Paulo,296593,12252023,2017,24208.0
2020-10-05,Estados Unidos,New York,247452,8398748,2018,29463.0
2020-10-06,Brasil,Sao Paulo,297583,12252023,2017,24288.0
2020-10-06,Estados Unidos,New York,248000,8398748,2018,29528.0
2020-10-07,Brasil,Sao Paulo,298405,12252023,2017,24356.0
2020-10-07,Estados Unidos,New York,248696,8398748,2018,29611.0
2020-10-08,Brasil,Sao Paulo,299207,12252023,2017,24421.0
2020-10-08,Estados Unidos,New York,249320,8398748,2018,29685.0
2020-10-09,Brasil,Sao Paulo,300487,12252023,2017,24526.0
2020-10-09,Estados Unidos,New York,249825,8398748,2018,29746.0
2020-10-10,Brasil,Sao Paulo,300905,12252023,2017,24560.0
2020-10-10,Estados Unidos,New York,250364,8398748,2018,29810.0
2020-10-11,Brasil,Sao Paulo,301021,12252023,2017,24569.0
2020-10-11,Estados Unidos,New York,250757,8398748,2018,29856.0
2020-10-12,Brasil,Sao Paulo,301209,12252023,2017,24584.0
2020-10-12,Estados Unidos,New York,251302,8398748,2018,29921.0
2020-10-13,Brasil,Sao Paulo,302223,12252023,2017,24667.0
2020-10-13,Estados Unidos,New York,251766,8398748,2018,29977.0
2020-10-14,Brasil,Sao Paulo,303298,12252023,2017,24755.0
2020-10-14,Estados Unidos,New York,252274,8398748,2018,30037.0
2020-10-15,Brasil,Sao Paulo,304364,12252023,2017,24842.0
2020-10-15,Estados Unidos,New York,252934,8398748,2018,30116.0
2020-10-16,Brasil,Sao Paulo,305379,12252023,2017,24925.0
2020-10-16,Estados Unidos,New York,253740,8398748,2018,30212.0
2020-10-17,Brasil,Sao Paulo,305379,12252023,2017,24925.0
2020-10-17,Estados Unidos,New York,254352,8398748,2018,30285.0
2020-10-18,Brasil,Sao Paulo,305540,12252023,2017,24938.0
2020-10-18,Estados Unidos,New York,254771,8398748,2018,30334.0
2020-10-19,Brasil,Sao Paulo,306428,12252023,2017,25010.0
2020-10-19,Estados Unidos,New York,255207,8398748,2018,30386.0
2020-10-20,Brasil,Sao Paulo,307230,12252023,2017,25076.0
2020-10-20,Estados Unidos,New York,256046,8398748,2018,30486.0
2020-10-21,Brasil,Sao Paulo,308077,12252023,2017,25145.0
2020-10-21,Estados Unidos,New York,256576,8398748,2018,30549.0
2020-10-22,Brasil,Sao Paulo,309507,12252023,2017,25262.0
2020-10-22,Estados Unidos,New York,257147,8398748,2018,30617.0
2020-10-23,Brasil,Sao Paulo,310693,12252023,2017,25359.0
2020-10-23,Estados Unidos,New York,257902,8398748,2018,30707.0
2020-10-24,Brasil,Sao Paulo,311116,12252023,2017,25393.0
2020-10-24,Estados Unidos,New York,258555,8398748,2018,30785.0
2020-10-25,Brasil,Sao Paulo,311301,12252023,2017,25408.0
2020-10-25,Estados Unidos,New York,258979,8398748,2018,30835.0
2020-10-26,Brasil,Sao Paulo,312632,12252023,2017,25517.0
2020-10-26,Estados Unidos,New York,259710,8398748,2018,30922.0
2020-10-27,Brasil,Sao Paulo,312632,12252023,2017,25517.0
2020-10-27,Estados Unidos,New York,259710,8398748,2018,30922.0
2020-10-28,Brasil,Sao Paulo,312632,12252023,2017,25517.0
2020-10-28,Estados Unidos,New York,261607,8398748,2018,31148.0
2020-10-29,Brasil,Sao Paulo,316265,12252023,2017,25813.0
2020-10-29,Estados Unidos,New York,262510,8398748,2018,31256.0
2020-10-30,Brasil,Sao Paulo,316970,12252023,2017,25871.0
2020-10-30,Estados Unidos,New York,263237,8398748,2018,31342.0
2020-10-31,Brasil,Sao Paulo,317215,12252023,2017,25891.0
2020-10-31,Estados Unidos,New York,264155,8398748,2018,31452.0
2020-11-01,Brasil,Sao Paulo,317346,12252023,2017,25902.0
2020-11-01,Estados Unidos,New York,264796,8398748,2018,31528.0
2020-11-02,Brasil,Sao Paulo,317346,12252023,2017,25902.0
2020-11-02,Estados Unidos,New York,264796,8398748,2018,31528.0
2020-11-03,Brasil,Sao Paulo,317533,12252023,2017,25917.0
2020-11-03,Estados Unidos,New York,265598,8398748,2018,31624.0
2020-11-04,Brasil,Sao Paulo,318533,12252023,2017,25998.0
2020-11-04,Estados Unidos,New York,266393,8398748,2018,31718.0
2020-11-05,Brasil,Sao Paulo,318533,12252023,2017,25998.0
2020-11-05,Estados Unidos,New York,267460,8398748,2018,31845.0
2020-11-06,Brasil,Sao Paulo,318533,12252023,2017,25998.0
2020-11-06,Estados Unidos,New York,267460,8398748,2018,31845.0
2020-11-07,Brasil,Sao Paulo,318533,12252023,2017,25998.0
2020-11-07,Estados Unidos,New York,269828,8398748,2018,32127.0
2020-11-08,Brasil,Sao Paulo,318533,12252023,2017,25998.0
2020-11-08,Estados Unidos,New York,271219,8398748,2018,32293.0
2020-11-09,Brasil,Sao Paulo,318533,12252023,2017,25998.0
2020-11-09,Estados Unidos,New York,272375,8398748,2018,32430.0
2020-11-10,Brasil,Sao Paulo,318533,12252023,2017,25998.0
2020-11-10,Estados Unidos,New York,273583,8398748,2018,32574.0
2020-11-11,Brasil,Sao Paulo,318533,12252023,2017,25998.0
2020-11-11,Estados Unidos,New York,276976,8398748,2018,32978.0
2020-11-12,Brasil,Sao Paulo,327185,12252023,2017,26705.0
2020-11-12,Estados Unidos,New York,276976,8398748,2018,32978.0
2020-11-13,Brasil,Sao Paulo,328953,12252023,2017,26849.0
2020-11-13,Estados Unidos,New York,278802,8398748,2018,33196.0
2020-11-14,Brasil,Sao Paulo,330266,12252023,2017,26956.0
2020-11-14,Estados Unidos,New York,282056,8398748,2018,33583.0
2020-11-15,Brasil,Sao Paulo,330753,12252023,2017,26996.0
2020-11-15,Estados Unidos,New York,283341,8398748,2018,33736.0
2020-11-16,Brasil,Sao Paulo,330753,12252023,2017,26996.0
2020-11-16,Estados Unidos,New York,283341,8398748,2018,33736.0
2020-11-17,Brasil,Sao Paulo,334733,12252023,2017,27321.0
2020-11-17,Estados Unidos,New York,285275,8398748,2018,33966.0
2020-11-18,Brasil,Sao Paulo,336703,12252023,2017,27481.0
2020-11-18,Estados Unidos,New York,287022,8398748,2018,34174.0
2020-11-19,Brasil,Sao Paulo,336703,12252023,2017,27481.0
2020-11-19,Estados Unidos,New York,288869,8398748,2018,34394.0
2020-11-20,Brasil,Sao Paulo,338989,12252023,2017,27668.0
2020-11-20,Estados Unidos,New York,290890,8398748,2018,34635.0
2020-11-21,Brasil,Sao Paulo,340537,12252023,2017,27794.0
2020-11-21,Estados Unidos,New York,294765,8398748,2018,35096.0
2020-11-22,Brasil,Sao Paulo,341035,12252023,2017,27835.0
2020-11-22,Estados Unidos,New York,294765,8398748,2018,35096.0
2020-11-23,Brasil,Sao Paulo,341340,12252023,2017,27860.0
2020-11-23,Estados Unidos,New York,296547,8398748,2018,35308.0
2020-11-24,Brasil,Sao Paulo,342822,12252023,2017,27981.0
2020-11-24,Estados Unidos,New York,300191,8398748,2018,35742.0
2020-11-25,Brasil,Sao Paulo,346655,12252023,2017,28294.0
2020-11-25,Estados Unidos,New York,302522,8398748,2018,36020.0
2020-11-26,Brasil,Sao Paulo,346655,12252023,2017,28294.0
2020-11-26,Estados Unidos,New York,302522,8398748,2018,36020.0
2020-11-27,Brasil,Sao Paulo,349033,12252023,2017,28488.0
2020-11-27,Estados Unidos,New York,307188,8398748,2018,36575.0
2020-11-28,Brasil,Sao Paulo,349622,12252023,2017,28536.0
2020-11-28,Estados Unidos,New York,307188,8398748,2018,36575.0
2020-11-29,Brasil,Sao Paulo,349912,12252023,2017,28560.0
2020-11-29,Estados Unidos,New York,311979,8398748,2018,37146.0
2020-11-30,Brasil,Sao Paulo,349912,12252023,2017,28560.0
2020-11-30,Estados Unidos,New York,311979,8398748,2018,37146.0
2020-12-01,Brasil,Sao Paulo,352144,12252023,2017,28742.0
2020-12-01,Estados Unidos,New York,314548,8398748,2018,37452.0
2020-12-02,Brasil,Sao Paulo,356278,12252023,2017,29079.0
2020-12-02,Estados Unidos,New York,317746,8398748,2018,37833.0
2020-12-03,Brasil,Sao Paulo,358390,12252023,2017,29251.0
2020-12-03,Estados Unidos,New York,321053,8398748,2018,38226.0
2020-12-04,Brasil,Sao Paulo,360539,12252023,2017,29427.0
2020-12-04,Estados Unidos,New York,327879,8398748,2018,39039.0
2020-12-05,Brasil,Sao Paulo,360539,12252023,2017,29427.0
2020-12-05,Estados Unidos,New York,331006,8398748,2018,39411.0
2020-12-06,Brasil,Sao Paulo,361450,12252023,2017,29501.0
2020-12-06,Estados Unidos,New York,333771,8398748,2018,39741.0
