date,city_name,lat,lon,temp_mean,humidity_mean,temp_min,temp_max
2020-08-06,New York,40.712775,-74.005973,24.685833333333335,60.291666666666664,20.0,24.0
2020-08-07,New York,40.712775,-74.005973,23.519166666666667,68.875,19.44,22.51
2020-08-08,New York,40.712775,-74.005973,23.7872,79.4,20.0,22.78
2020-08-09,New York,40.712775,-74.005973,25.415416666666662,77.16666666666667,20.56,23.0
2020-08-10,New York,40.712775,-74.005973,28.0275,72.75,22.78,25.0
2020-08-11,New York,40.712775,-74.005973,27.828400000000002,73.08,23.8,26.11
2020-08-12,New York,40.712775,-74.005973,27.523846153846158,76.84615384615384,23.89,26.11
2020-08-13,New York,40.712775,-74.005973,25.46846153846154,81.73076923076923,22.0,26.0
2020-08-14,New York,40.712775,-74.005973,26.01583333333333,68.41666666666667,21.67,24.0
2020-08-15,New York,40.712775,-74.005973,25.100000000000005,56.708333333333336,21.0,23.89
2020-08-16,New York,40.712775,-74.005973,21.25875,78.875,18.89,21.13
2020-08-17,New York,40.712775,-74.005973,21.913749999999997,70.58333333333333,16.67,20.0
2020-08-18,New York,40.712775,-74.005973,23.052307692307693,72.6923076923077,17.0,20.0
2020-08-19,New York,40.712775,-74.005973,22.4568,72.4,18.89,21.65
2020-08-20,New York,40.712775,-74.005973,22.375000000000004,57.625,16.0,20.0
2020-08-21,New York,40.712775,-74.005973,24.08875,65.875,17.78,21.67
2020-08-22,New York,40.712775,-74.005973,26.52083333333334,72.79166666666667,22.0,23.89
2020-08-23,New York,40.712775,-74.005973,26.123333333333324,74.20833333333333,21.11,24.44
2020-08-24,New York,40.712775,-74.005973,27.372916666666665,71.70833333333333,22.22,25.0
2020-08-25,New York,40.712775,-74.005973,27.789583333333336,65.375,22.22,25.56
2020-08-26,New York,40.712775,-74.005973,23.510833333333338,51.0,18.33,21.7
2020-08-27,New York,40.712775,-74.005973,25.656666666666666,60.125,20.56,22.87
2020-08-28,New York,40.712775,-74.005973,25.572400000000002,72.04,20.0,23.33
2020-08-29,New York,40.712775,-74.005973,24.207083333333333,85.79166666666667,21.67,23.24
2020-08-30,New York,40.712775,-74.005973,23.619583333333328,58.291666666666664,18.0,21.0
2020-08-31,New York,40.712775,-74.005973,21.32,55.625,15.56,19.44
2020-09-01,New York,40.712775,-74.005973,22.28307692307692,75.03846153846153,18.89,20.52
2020-09-02,New York,40.712775,-74.005973,23.15370370370371,84.22222222222223,20.0,22.0
2020-09-03,New York,40.712775,-74.005973,25.875833333333336,68.95833333333333,22.22,24.44
2020-09-04,New York,40.712775,-74.005973,24.778076923076924,75.84615384615384,19.44,22.78
2020-09-05,New York,40.712775,-74.005973,23.099999999999994,46.833333333333336,17.0,21.0
